,patient_id,name,dob,phone,address
65,pat67797585,"Luwar Pangestu, S.Kom",2000-02-11,+62-28-893-7967,"Jalan Soekarno Hatta No. 8
Pasuruan, RI 08159"
66,pat83164477,Latif Pratiwi,1982-10-24,+62-199-261-0955,"Jl. Abdul Muis No. 18
Dumai, Jawa Tengah 62597"
67,pat31278447,"Julia Hakim, S.E.",1983-02-09,+62-004-617-6777,"Gang Veteran No. 12
Parepare, JK 77222"
68,pat52790911,Ajimin Rajata,1985-12-28,(0115) 760-1054,"Jl. BKR No. 96
Kota Administrasi Jakarta Utara, BT 21366"
69,pat19087122,"Gara Astuti, S.Sos",1994-01-06,+62 (73) 760-2493,"Gang Medokan Ayu No. 79
Pematangsiantar, DKI Jakarta 06410"
70,pat60674685,Winda Permadi,1994-07-31,+62 (065) 630 4896,"Jalan Gegerkalong Hilir No. 5
Palopo, KT 98042"
71,pat72270691,Mila Usada,1990-10-04,+62 (021) 375-0948,"Gg. KH Amin Jasuta No. 710
Bima, MA 66586"
72,pat74672691,Hairyanto Sinaga,1992-03-16,+62 (0580) 149-2355,"Gg. Moch. Ramdan No. 8
Banjarbaru, Kalimantan Barat 63086"
73,pat94394894,Aisyah Nuraini,1995-08-23,(0825) 472-5680,"Jalan Rumah Sakit No. 0
Sabang, Sulawesi Barat 34981"
74,pat78058811,Kamaria Natsir,1992-09-10,+62 (001) 782-5666,"Jalan H.J Maemunah No. 900
Tanjungbalai, Sulawesi Utara 08027"
75,pat35395423,Fathonah Puspita,1996-08-05,(0014) 012-6985,"Gg. Kebonjati No. 50
Metro, Papua Barat 86140"
76,pat07637438,Karya Nasyiah,1989-09-12,+62 (00) 762 1760,"Jalan PHH. Mustofa No. 214
Gorontalo, SG 88175"
77,pat64083391,Puti Syahrini Januar,1984-02-28,+62 (77) 792-7146,"Jalan Siliwangi No. 1
Denpasar, MA 86845"
78,pat94846799,Cager Tarihoran,1993-11-09,+62 (029) 556-3666,"Jl. Surapati No. 83
Depok, Kepulauan Riau 25292"
79,pat40083964,Umay Hastuti,1981-04-25,+62 (0597) 158-1233,"Jl. Ahmad Dahlan No. 013
Mataram, MA 71583"
80,pat09059856,Sutan Bakda Uyainah,1983-10-15,+62 (276) 223-8564,"Jl. W.R. Supratman No. 63
Kediri, KR 85098"
81,pat09751088,Dr. Prasetya Laksita,1992-10-08,+62 (0321) 858-8542,"Jl. R.E Martadinata No. 68
Payakumbuh, KS 96419"
82,pat68679743,Rachel Winarno,1997-11-21,+62 (0837) 530 9605,"Gang Ciwastra No. 21
Pekanbaru, Aceh 84969"
83,pat26269221,drg. Kajen Permadi,1992-12-23,+62 (477) 625-9508,"Gg. Moch. Toha No. 16
Tebingtinggi, SN 44650"
84,pat38841644,Jumari Damanik,1991-12-17,(0403) 480-1339,"Jalan K.H. Wahid Hasyim No. 0
Cilegon, Sulawesi Barat 81092"
85,pat10077139,Umi Prabowo,1996-03-13,+62 (91) 173 3407,"Gang Otto Iskandardinata No. 174
Pariaman, JB 99457"
86,pat27618479,"drg. Karen Marbun, S.Kom",1995-01-19,+62 (0622) 537-8201,"Gang Jakarta No. 43
Denpasar, RI 92376"
87,pat26406336,Hana Maryati,1984-01-15,+62 (0200) 886 1757,"Gang Veteran No. 2
Sukabumi, Lampung 45309"
88,pat38770746,Caket Situmorang,1993-10-24,+62-37-802-2418,"Jl. Rumah Sakit No. 5
Banjarbaru, BE 50736"
89,pat86807845,drg. Hadi Suryono,1980-06-21,(0258) 729 7601,"Jl. Raya Ujungberung No. 099
Gorontalo, PA 52771"
90,pat62110556,Bakijan Winarno,1994-12-15,+62-72-762-4560,"Gg. Veteran No. 134
Jambi, Kalimantan Timur 64107"
91,pat16623903,KH. Koko Firgantoro,1996-03-10,085 632 4763,"Jl. Jend. A. Yani No. 6
Solok, YO 52190"
92,pat86242301,"Malika Sirait, S.Gz",1999-09-29,+62 (19) 594-5885,"Gang K.H. Wahid Hasyim No. 53
Bontang, SU 87160"
93,pat94168167,"Cut Ratih Uyainah, S.Farm",1985-10-12,0809457793,"Gg. Cikapayang No. 601
Madiun, DKI Jakarta 22534"
94,pat48606806,Jagapati Zulkarnain,1996-07-30,+62-0843-444-4160,"Jl. Jayawijaya No. 8
Tasikmalaya, Sulawesi Tengah 02045"
95,pat57030043,"Hj. Qori Kusmawati, M.M.",1989-05-03,(035) 167-0863,"Gg. Kendalsari No. 732
Tarakan, NT 52880"
96,pat58414019,"Drs. Puji Palastri, S.E.I",1989-06-18,+62-28-991-1207,"Jalan Ahmad Yani No. 46
Surabaya, Jambi 83997"
97,pat40497563,Queen Haryanto,1991-02-21,(0909) 821-6669,"Jl. Siliwangi No. 836
Singkawang, Bengkulu 14099"
98,pat18567724,Najam Melani,1988-06-28,+62-0127-519-3864,"Jalan Sadang Serang No. 818
Kota Administrasi Jakarta Selatan, Jawa Barat 81774"
99,pat13633783,Embuh Setiawan,1992-03-18,(0646) 331-6762,"Jalan Gardujati No. 42
Prabumulih, Banten 86484"
100,pat98216079,"Daru Widiastuti, S.Ked",1999-03-30,+62-135-158-8763,"Gg. Gardujati No. 6
Sabang, Lampung 80638"
101,pat88659596,"Ir. Queen Yuniar, S.Pt",1990-07-19,+62 (0154) 363-6237,"Gang Tubagus Ismail No. 09
Pekalongan, Nusa Tenggara Barat 57378"
102,pat06804923,Aisyah Prastuti,1990-11-15,+62 (69) 993 0520,"Jalan Merdeka No. 516
Pontianak, YO 64151"
103,pat35355625,Citra Gunarto,1980-01-03,+62 (63) 546 7506,"Jl. Soekarno Hatta No. 196
Langsa, SB 27590"
104,pat84722775,Zahra Maryati,1998-06-18,+62-0888-161-9626,"Jl. Otto Iskandardinata No. 275
Bekasi, Jambi 99120"
105,pat00861335,Ir. Aditya Laksmiwati,1984-08-13,+62 (093) 847 1618,"Jalan Rungkut Industri No. 21
Kota Administrasi Jakarta Timur, Kalimantan Selatan 79682"
106,pat33640525,Tina Saptono,1993-10-30,0871310293,"Gg. Kiaracondong No. 6
Manado, Banten 34392"
107,pat05953028,Hj. Wirda Firgantoro,1984-12-23,+62 (58) 201-4474,"Gang Cikapayang No. 12
Tanjungbalai, DKI Jakarta 76732"
108,pat87163797,"Dr. Saka Salahudin, S.Gz",1980-02-06,(017) 242 4417,"Jalan Gegerkalong Hilir No. 926
Balikpapan, SB 81364"
109,pat00498678,Hasna Hastuti,1985-12-18,+62-0943-939-6327,"Jl. Joyoboyo No. 4
Cimahi, Sulawesi Utara 24349"
110,pat43716654,Ikin Mulyani,1996-02-08,+62 (347) 204-6914,"Gang Gardujati No. 9
Pasuruan, NT 35403"
111,pat51424367,dr. Waluyo Winarno,1980-12-18,(086) 125 2131,"Jl. BKR No. 60
Palembang, Maluku 02557"
112,pat09041547,"Mulya Aryani, S.E.I",1997-02-06,0865878203,"Jalan Suryakencana No. 7
Pangkalpinang, KU 98390"
113,pat74859351,Ilyas Adriansyah,1992-07-20,+62 (0313) 372-5838,"Jalan Tebet Barat Dalam No. 7
Pekalongan, BB 36329"
114,pat39396235,Citra Haryanto,1994-02-09,+62 (056) 244 7891,"Gang Laswi No. 557
Tebingtinggi, DKI Jakarta 21160"
115,pat23460140,Irwan Widiastuti,1996-05-25,0837409714,"Jalan Veteran No. 9
Lhokseumawe, MA 38219"
116,pat24634281,Hadi Firgantoro,2000-07-18,+62 (0662) 581 3441,"Gang Ciwastra No. 0
Kotamobagu, Jawa Timur 77361"
117,pat42203421,Amelia Usamah,1980-06-10,(0563) 031 6242,"Gg. Sentot Alibasa No. 86
Manado, Jawa Timur 55279"
118,pat10774472,Hj. Maya Habibi,1988-01-30,+62 (019) 571-9186,"Gg. Dipenogoro No. 41
Kota Administrasi Jakarta Utara, DKI Jakarta 11950"
119,pat94147650,"Laras Dabukke, S.Gz",1989-02-11,+62 (042) 075 1074,"Jl. Kutisari Selatan No. 9
Pasuruan, Bali 84929"
120,pat20401320,Ophelia Oktaviani,1995-05-03,+62-53-238-4239,"Jl. Medokan Ayu No. 9
Kota Administrasi Jakarta Pusat, Sumatera Selatan 71565"
121,pat69800924,Heru Budiyanto,1999-03-24,+62 (082) 852 2433,"Jalan Kapten Muslihat No. 226
Prabumulih, Maluku 47252"
122,pat09575134,Zulfa Rahayu,1985-01-01,(0751) 388 3699,"Gang Dr. Djunjunan No. 7
Subulussalam, KU 73131"
123,pat99894030,Jumari Maryadi,1992-04-02,+62-789-973-6887,"Gg. Merdeka No. 979
Kota Administrasi Jakarta Timur, BB 93330"
124,pat61242562,"Chandra Farida, S.T.",1987-04-24,+62-297-334-7621,"Gang Tubagus Ismail No. 6
Padang Sidempuan, KR 85174"
125,pat04961666,T. Gandi Mahendra,1999-09-04,+62-001-549-0724,"Jl. BKR No. 060
Palangkaraya, JI 38405"
126,pat48785587,drg. Ade Hutapea,1992-04-27,+62 (045) 906 7584,"Gang Rumah Sakit No. 43
Sawahlunto, Kepulauan Bangka Belitung 69322"
127,pat43979769,Hardana Lazuardi,1985-06-14,+62 (030) 511-3407,"Gg. Lembong No. 600
Tomohon, JA 58106"
128,pat69063343,Dariati Tarihoran,1983-02-18,(088) 126 8721,"Gang Monginsidi No. 4
Kota Administrasi Jakarta Selatan, Nusa Tenggara Timur 87864"
129,pat87355482,"Putri Maulana, S.Ked",1990-09-07,0873241619,"Gang Raya Ujungberung No. 4
Surakarta, Sulawesi Utara 45679"
130,pat65772423,"dr. Bahuwarna Mansur, S.IP",1980-03-09,+62 (353) 600 4603,"Jalan W.R. Supratman No. 396
Lhokseumawe, Riau 89937"
131,pat53109927,Agnes Tampubolon,1985-07-25,087 038 5058,"Jl. HOS. Cokroaminoto No. 49
Surakarta, Jawa Barat 39260"
132,pat88406343,Wulan Prasetyo,1995-03-16,+62 (061) 416-2938,"Gg. Veteran No. 114
Banjarmasin, YO 89666"
133,pat00037747,Langgeng Tampubolon,2000-07-17,+62 (841) 040-9720,"Jl. Rajiman No. 010
Bandung, RI 91170"
134,pat86293709,Tira Siregar,1991-07-26,+62 (94) 391 8703,"Jl. Setiabudhi No. 000
Metro, Bali 45794"
135,pat72034590,"Ir. Eva Habibi, S.Gz",1992-03-26,(013) 817-1159,"Jl. M.H Thamrin No. 37
Bandung, JA 67337"
136,pat87395709,Tgk. Cindy Samosir,1990-04-09,+62-972-732-5046,"Gg. Cikapayang No. 7
Pangkalpinang, YO 56519"
137,pat11281863,"Dirja Mangunsong, M.TI.",1999-06-09,+62 (30) 130 0375,"Gang Rajiman No. 7
Sabang, KB 67728"
138,pat04993360,"Tgk. Ibrahim Puspita, M.Kom.",1988-03-19,+62 (022) 090-1218,"Gang Cikutra Barat No. 252
Ternate, SR 46583"
139,pat13300661,Drs. Lanang Natsir,1995-02-04,+62 (46) 602-6956,"Gang Abdul Muis No. 0
Singkawang, BE 03231"
140,pat33280806,Nabila Lestari,1996-07-31,+62 (076) 190-1247,"Gang Ronggowarsito No. 712
Madiun, AC 78326"
141,pat79919142,"Sutan Cecep Permata, M.Pd",1996-03-15,(0588) 471-8008,"Gang Rajiman No. 988
Makassar, SB 97238"
142,pat71063553,"drg. Winda Farida, S.Sos",1999-12-18,(0418) 476-2281,"Jalan Pacuan Kuda No. 495
Bukittinggi, Kalimantan Utara 85821"
143,pat81943807,Yulia Nurdiyanti,1992-01-08,+62-597-148-1524,"Gang Astana Anyar No. 86
Makassar, KU 19664"
144,pat89475737,"dr. Dian Permadi, S.Kom",1994-04-29,+62-844-638-1467,"Jl. Kutisari Selatan No. 193
Balikpapan, GO 03872"
145,pat84027788,Aurora Widiastuti,1981-04-26,+62-08-579-5303,"Jalan M.T Haryono No. 28
Bengkulu, ST 51870"
146,pat70515176,Victoria Hidayat,2000-09-19,+62 (0588) 821-2625,"Gang Cikutra Timur No. 2
Padang Sidempuan, JK 41931"
147,pat74396436,"Simon Novitasari, S.T.",1990-01-17,+62 (083) 941-3802,"Jalan Cikutra Timur No. 67
Sabang, Sumatera Selatan 19699"
148,pat99706586,Ida Samosir,1991-08-08,+62 (862) 751-3866,"Jl. Erlangga No. 044
Palembang, BB 35908"
149,pat75445652,R. Vanya Halim,1984-02-18,+62 (82) 970-4186,"Gg. Cikutra Timur No. 330
Banjarbaru, KU 12358"
150,pat66546696,"Prabu Mayasari, M.M.",1996-12-05,(0718) 048-7042,"Jalan Rajawali Barat No. 303
Kota Administrasi Jakarta Pusat, Kalimantan Timur 20668"
151,pat21883866,Syahrini Purwanti,1985-11-08,(0454) 470-1818,"Gang Jend. A. Yani No. 54
Palopo, Kepulauan Riau 70811"
152,pat28235767,Mila Mayasari,1995-08-05,+62-63-371-4065,"Jalan Pasirkoja No. 949
Ternate, AC 99329"
153,pat85609754,Samiah Farida,1999-08-21,+62 (49) 912 2980,"Gg. Lembong No. 455
Sukabumi, JT 80833"
154,pat73528517,Eko Nurdiyanti,1993-12-09,+62-069-247-9848,"Jl. Jamika No. 3
Balikpapan, SG 16303"
155,pat71426099,Yono Yuniar,1997-01-19,+62 (566) 583 5540,"Jl. Kutisari Selatan No. 10
Bukittinggi, Jawa Barat 09141"
156,pat54890503,"Maras Purnawati, M.Farm",1992-03-29,(054) 243-3887,"Jl. Rawamangun No. 697
Tasikmalaya, JT 11024"
157,pat74234721,Michelle Samosir,2000-09-11,+62 (0003) 144 3213,"Jalan Yos Sudarso No. 0
Probolinggo, NB 56625"
158,pat15001016,"Betania Zulkarnain, S.I.Kom",1982-09-06,(0092) 521-1019,"Jl. Otto Iskandardinata No. 125
Solok, KT 26997"
159,pat24472906,Tania Damanik,1991-01-15,(0828) 170 3744,"Jalan Abdul Muis No. 545
Pekanbaru, Banten 11007"
160,pat48542296,Oman Putra,1994-12-22,+62 (66) 088-9547,"Gg. Otto Iskandardinata No. 73
Padangpanjang, Kepulauan Bangka Belitung 03914"
161,pat05046058,Harja Rajata,1992-04-02,+62 (809) 220-8988,"Jl. Ahmad Yani No. 404
Dumai, DI Yogyakarta 56262"
162,pat80837169,Hairyanto Purwanti,1996-04-28,+62-66-092-1584,"Gg. H.J Maemunah No. 682
Jambi, YO 31726"
163,pat43126996,"Puti Ami Widiastuti, S.H.",2000-06-15,(029) 563-0947,"Jalan Raya Setiabudhi No. 080
Lubuklinggau, Sulawesi Barat 01255"
164,pat36326044,"Mustika Widiastuti, S.IP",1980-09-27,084 919 7696,"Gang Monginsidi No. 95
Medan, NB 11352"
165,pat73805205,Bagya Kusumo,1987-09-27,+62 (0281) 818 5118,"Jalan Tubagus Ismail No. 49
Tanjungbalai, KS 98959"
166,pat71227412,Dr. Kartika Wastuti,1988-02-20,+62 (11) 236-5811,"Jalan Ciumbuleuit No. 3
Makassar, SS 41005"
167,pat15847331,Shania Sihotang,1994-02-15,(002) 096 5408,"Gang W.R. Supratman No. 1
Banjarbaru, Sumatera Selatan 40096"
168,pat11962496,"Ghaliyati Lestari, S.Psi",1993-04-16,(091) 717 5427,"Jalan PHH. Mustofa No. 974
Surabaya, BA 92704"
169,pat53746535,Ciaobella Mardhiyah,1985-10-17,(037) 172-2266,"Gg. M.T Haryono No. 34
Semarang, Kalimantan Utara 84612"
170,pat88978598,Cahyono Habibi,1995-05-25,+62 (086) 827 0090,"Jalan Pasir Koja No. 9
Sabang, JB 50734"
171,pat35691884,drg. Warsa Marbun,1983-10-11,+62-75-550-5033,"Gang Kendalsari No. 197
Surabaya, Kepulauan Riau 55621"
172,pat30114142,Ir. Salimah Dongoran,1996-08-10,0838045598,"Gg. Asia Afrika No. 44
Tangerang, Sumatera Utara 30220"
173,pat41137567,Lintang Budiyanto,1995-04-04,+62 (0026) 114-1963,"Jl. Joyoboyo No. 993
Batu, PA 20601"
174,pat02214665,Galak Samosir,1980-03-18,0839435523,"Jalan Laswi No. 60
Bandung, BE 40420"
175,pat11047865,Rudi Irawan,1988-06-19,(0219) 380 0958,"Gg. PHH. Mustofa No. 993
Semarang, BE 21688"
176,pat85996687,Salsabila Padmasari,1998-01-03,+62 (87) 345-8404,"Jl. Sentot Alibasa No. 7
Palembang, YO 42279"
177,pat74487172,Dono Hariyah,1997-03-16,(020) 909-7631,"Jl. Ciwastra No. 0
Purwokerto, Sulawesi Barat 60573"
178,pat75086848,Dr. Bakda Maheswara,1994-05-09,+62 (01) 305 9424,"Gg. Ahmad Yani No. 87
Padangpanjang, Jawa Barat 99358"
179,pat10921463,Fathonah Rahmawati,1985-03-08,+62 (0808) 179 4464,"Jl. Siliwangi No. 606
Pagaralam, Jawa Tengah 13137"
180,pat72488393,Kajen Melani,1997-10-19,+62 (093) 430 8263,"Jl. Raya Setiabudhi No. 28
Bima, KR 33733"
181,pat03590232,Among Farida,1989-12-04,+62 (19) 433 4554,"Jalan Setiabudhi No. 738
Bogor, SR 95117"
182,pat87019186,Dt. Galiono Usamah,1980-02-21,+62-082-190-2491,"Gg. Moch. Toha No. 432
Sungai Penuh, SS 67521"
183,pat22297303,Vanesa Halim,1998-03-21,+62 (981) 707 2264,"Gang Gardujati No. 04
Tarakan, Sumatera Utara 51442"
184,pat76035135,T. Labuh Wacana,1990-08-10,+62 (0350) 530-6831,"Jalan Moch. Ramdan No. 03
Meulaboh, Jawa Tengah 58150"
185,pat46803856,Tirtayasa Tampubolon,1996-02-22,081 624 6907,"Jl. Gardujati No. 6
Cirebon, BA 94371"
186,pat16249905,R. Garang Sirait,1994-09-09,+62-398-380-1469,"Jalan Bangka Raya No. 4
Madiun, Sulawesi Tengah 46095"
187,pat85825192,Ifa Nugroho,1999-06-16,+62 (038) 225-5472,"Gg. Gegerkalong Hilir No. 83
Bengkulu, Sulawesi Tengah 32717"
188,pat24826860,Kasusra Megantara,1981-09-18,+62-091-049-1562,"Jalan R.E Martadinata No. 9
Pagaralam, JI 76257"
189,pat58704790,R.M. Paiman Waskita,1986-03-09,+62 (027) 148-3187,"Gang Veteran No. 744
Lubuklinggau, Sumatera Barat 57455"
190,pat85374539,Eluh Sitompul,1986-03-22,+62 (833) 428-1500,"Jl. Otto Iskandardinata No. 56
Pekalongan, SU 25888"
191,pat98954056,Carub Nababan,1981-05-20,+62 (976) 543 9386,"Gang Gardujati No. 17
Padang, BE 03550"
192,pat26081045,Kunthara Sihotang,1993-05-01,+62 (0671) 934 4765,"Gang Ahmad Yani No. 73
Semarang, LA 05973"
193,pat29829446,Ibrani Lazuardi,1995-03-20,+62-0136-892-5940,"Jalan Jend. Sudirman No. 14
Manado, SR 38133"
